樹木編號,樹種名稱,樹種學名,樹胸徑寬度公尺,樹胸圍長度公尺,地址,緯度,經度,地理位置名稱,管理單位,英文名
899,臺灣朴,Celtis formosana Hayata,1,3.15,臺北市士林區天母里中山北路七段181巷22弄防火巷內圍牆邊,25.1251,121.5308,其他,私人,Taiwan Hackberry
1291,榕,Ficus microcarpa L. f.,1.06,3.33,臺北市內湖區石潭里明美公園,25.0612,121.5865,其他,臺北市政府工務局公園路燈工程管理處,Banyan
901,榕,Ficus microcarpa L. f.,1.69,5.32,臺北市士林區天母里中山北路七段192號天母派出所門口,25.1249,121.533,公共場所,臺北市政府警察局,Banyan
1294,榕,Ficus microcarpa L. f.,0.91,2.85,臺北市內湖區石潭里成功路二段從南港方向過成功橋後，成功路人行道上第一棵行道樹,25.0617,121.5913,道路、人行道,臺北市政府工務局公園路燈工程管理處,Banyan
902,榕,Ficus microcarpa L. f.,1.81,5.7,臺北市士林區天母里中山北路七段219巷6號快樂山莊對面,25.127,121.5323,公共場所,私人,Banyan
903,榕,Ficus microcarpa L. f.,1.39,4.38,臺北市士林區天山里中山北路七段82巷10弄24號圍牆內,25.1204,121.5323,公共場所,臺北市政府財政局(公園處代管),Banyan
904,榕,Ficus microcarpa L. f.,1.05,3.3,臺北市士林區天母里中山北路七段天母公園內(路燈管理處有列牌子編號007處）,25.126,121.5307,公園、綠地,臺北市政府工務局公園路燈工程管理處,Banyan
1295,榕,Ficus microcarpa L. f.,1.01,3.18,臺北市內湖區秀湖里成功路五段大湖公園湖畔老公祠福佑宮右側向下往湖邊走,25.0784,121.6065,公園、綠地,臺北市政府工務局公園路燈工程管理處,Banyan
907,無患子,Sapindus mukorossii Gaertn.,0.8,2.5,臺北市士林區天母里中山北路七段天母公園內(路燈管理處有列牌子編號010處）,25.1231,121.5319,公園、綠地,臺北市政府工務局公園路燈工程管理處,Chinese Soap Berry
910,香楠,Machilus zuihoensis Hayata,0.87,2.75,臺北市士林區天母里中山北路七段天母公園內在步道旁邊坡上,25.1259,121.531,公園、綠地,臺北市政府工務局公園路燈工程管理處,Zuiho Machilus
1297,香楠,Machilus zuihoensis Hayata,0.8,2.51,臺北市內湖區金湖里金湖路272號通往住家通道右側坡面上,25.0756,121.6017,郊山,私人,Zuiho Machilus
1298,樟,Cinnamomum camphora (L.) Presl,0.86,2.71,臺北市內湖區金湖里金湖路347巷巷口,25.0742,121.6015,私有住宅,財政部國有財產署,Camphor Tree
914,榕,Ficus microcarpa L. f.,1.23,3.86,臺北市士林區福林里中山北路五段282巷底,25.0878,121.5277,私有住宅,財政部國有財產署,Banyan
1299,榕,Ficus microcarpa L. f.,1.13,3.56,臺北市內湖區南湖里康寧路三段70巷135號位在135號門前的路邊帶狀小公園,25.0667,121.6087,公園、綠地,臺北市政府工務局公園路燈工程管理處,Banyan
915,榕,Ficus microcarpa L. f.,1.21,3.8,臺北市士林區福林里中山北路五段376號派出所對面路旁,25.0903,121.5278,道路、人行道,臺北市政府工務局新建工程處(公園處代管),Banyan
916,榕,Ficus microcarpa L. f.,0.92,2.88,臺北市士林區福林里中山北路五段378巷崗哨斜對面路旁,25.0899,121.529,其他,臺北市政府工務局公園路燈工程管理處,Banyan
1300,榕,Ficus microcarpa L. f.,1.08,3.39,臺北市內湖區石潭里新明路22號潭美國小舊校門邊，兩棵中的北邊,25.0607,121.5907,學校,臺北市政府社會局,Banyan
918,榕,Ficus microcarpa L. f.,1.25,3.94,臺北市士林區福志里士林區中山北路五段756巷口,25.0996,121.5271,其他,私人,Banyan
1301,榕,Ficus microcarpa L. f.,1.08,3.39,臺北市內湖區石潭里新明路22號潭美國小舊校門邊，兩棵中的南邊,25.0607,121.5908,學校,臺北市政府社會局,Banyan
1303,朴樹,Celtis sinensis Persoon,0.8,2.52,臺北市內湖區週美里新明路428巷1號旁,25.0547,121.5795,私有住宅,財政部國有財產署、臺北市政府工務局新建工程處(臺北市政府工務局公園路燈工程管理處代管)、私人,Chinese Hackberry
921,榕,Ficus microcarpa L. f.,1.5,4.7,臺北市士林區福林里中山北路五段與福林路交岔口(福林公園),25.094,121.5283,公園、綠地,臺北市政府工務局公園路燈工程管理處,Banyan
922,白千層,Melaleuca cajuputi cumingiana,0.9,2.8,臺北市士林區德行里中山北路六段138號對面之安全島,25.1056,121.5248,道路、人行道,臺北市政府工務局新建工程處(公園處代管),Cajuput Tree
923,日本黑松,Pinus thunbergii Parl.,0.57,1.8,臺北市士林區天祿里中山北路六段392號士東國小內操場邊(天龍解說牌）,25.1129,121.5276,學校,臺北市士林區士東國民小學,Japanese Black Pine
924,日本黑松,Pinus thunbergii Parl.,0.53,1.65,臺北市士林區天祿里中山北路六段392號士東國小校內操場邊(築夢松解說牌),25.113,121.5273,學校,臺北市士林區士東國民小學,Japanese Black Pine
1305,樟,Cinnamomum camphora (L.) Presl,1.2,3.78,臺北市內湖區西湖里環山路一段59巷14弄4號4號正對面，後方公園為仙樹公園綠地,25.0854,121.5682,公共場所,臺北市內湖區公所,Camphor Tree
925,日本黑松,Pinus thunbergii Parl.,0.57,1.8,臺北市士林區天祿里中山北路六段392號士東國小校園內操場邊(天空龍解說牌）,25.1128,121.5278,學校,臺北市士林區士東國民小學,Japanese Black Pine
513,茄苳,Bischofia javanica Blume,0.8,2.5,臺北市松山區慈佑里松山國民小學,25.0506,121.5791,學校,臺北市松山區松山國民小學,Autumn Maple Tree
514,榕,Ficus microcarpa L. f.,1.53,4.81,臺北市松山區慈佑里松山國民小學,25.0513,121.5793,學校,臺北市松山區松山國民小學,Banyan
516,刺桐,Erythrina variegata L.,1.25,3.93,臺北市松山區慈佑里松山國民小學,25.0503,121.5788,學校,臺北市松山區松山國民小學,Variegated Coralnean
517,榕,Ficus microcarpa L. f.,0.93,2.93,臺北市松山區慈佑里松山國民小學西側人行道,25.0504,121.5778,道路、人行道,臺北市松山區松山國民小學,Banyan
518,榕,Ficus microcarpa L. f.,1.07,3.35,臺北市松山區慈佑里松山國民小學西側人行道,25.0505,121.5778,其他,臺北市松山區松山國民小學,Banyan
522,榕,Ficus microcarpa L. f.,1.38,4.35,臺北市松山區民福里民權東路三段191巷32號庭院,25.0637,121.5466,公共場所,國防部政治作戰局,Banyan
753,琉球松,Pinus luchuensis Mayr.,0.43,1.35,臺北市大安區學府里台大共同教室庭園木棧道旁靠北側,25.0157,121.5374,學校,國立臺灣大學,Luchu Pine 
754,琉球松,Pinus luchuensis Mayr.,0.53,1.66,臺北市大安區學府里台大共同教室庭園木棧道旁靠東側,25.0157,121.5375,學校,國立臺灣大學,Luchu Pine 
755,琉球松,Pinus luchuensis Mayr.,0.83,2.61,臺北市大安區學府里台大同教室庭園木棧道旁靠南側,25.0157,121.5375,學校,國立臺灣大學,Luchu Pine 
756,白千層,Melaleuca cajuputi cumingiana,0.9,2.83,臺北市大安區學府里台大傅園內入口衣冠塚旁,25.0163,121.5335,學校,國立臺灣大學,Cajuput Tree
757,白千層,Melaleuca cajuputi cumingiana,1.01,3.16,臺北市大安區學府里台大醉月湖靠籃球場小徑旁,25.0203,121.5372,學校,國立臺灣大學,Cajuput Tree
758,泡桐(南投梧桐),Paulownia fortunei Hemsl.,0.63,1.98,臺北市大安區學府里國立臺灣大學學務處學生心理輔導中心中庭,25.0153,121.5363,學校,國立臺灣大學,Fortune Paulownia
759,朴樹,Celtis sinensis Persoon,0.66,2.07,臺北市大安區錦安里麗水街32號北側庭院中段,25.0276,121.5277,,麗水松園管理委員會,Chinese Hackberry
760,青剛櫟,Cyclobalanopsis glauca (Thunb. ex Murray) Oerst,0.5,1.68,臺北市大安區錦安里麗水街32號北側庭院靠西,25.0276,121.5275,,麗水松園管理委員會,Ring-cupped Oak
763,麵包樹,Artocarpus treculianus,0.6,1.88,臺北市大安區永康里麗水街9巷13號旁,25.0306,121.5293,公共場所,國泰世華商業銀行股份有限公司,Bread-fruit Tree
822,芒果,Mangifera indica L.,0.82,2.56,臺北市萬華區西門里西門國小(成都路98號),25.0428,121.5027,學校,臺北市萬華區西門國民小學,Mango
823,錫蘭橄欖,Elaeocarpus serratus L.,0.8,2.5,臺北市萬華區西門里西門國小(成都路98號),25.0431,121.504,學校,臺北市萬華區西門國民小學,Ceylon-olive Elaeocarpus
824,麵包樹,Artocarpus treculianus,0.81,2.54,臺北市萬華區西門里西門國小(成都路98號),25.0431,121.5042,學校,臺北市萬華區西門國民小學,Bread-fruit Tree
825,銀杏,Ginkgo biloba L.,0.42,1.31,臺北市萬華區西門里西門國小(成都路98號),25.0432,121.5032,學校,臺北市萬華區西門國民小學,Maidenhair Tree
826,茄苳,Bischofia javanica Blume,0.94,2.95,臺北市萬華區西門里成都路98號西門國小操場司令台右邊,25.043,121.5033,學校,臺北市萬華區西門國民小學,Autumn Maple Tree
827,猢猻木,Adansonia digitata L.,1.11,3.48,臺北市萬華區富福里萬華51號公園,25.0346,121.4992,,臺北市政府工務局公園路燈工程管理處,Baobab
829,榕,Ficus microcarpa L. f.,1.18,3.7,臺北市萬華區和平里艋舺公園(前仁濟療養院區),25.0326,121.4974,公共場所,臺北市政府工務局公園路燈工程管理處,Banyan
830,刺桐,Erythrina variegata L.,0.81,2.54,臺北市萬華區新忠里西藏路107號位在西藏路與中華路二段300巷口,25.0298,121.5036,道路、人行道,臺北市政府工務局新建工程處,Variegated Coralnean
831,榕,Ficus microcarpa L. f.,1.16,3.63,臺北市萬華區日善里西藏路201號萬華國中體育館旁校方編號A-15-45,25.0285,121.4983,學校,臺北市立萬華國民中學,Banyan
832,榕,Ficus microcarpa L. f.,0.97,3.04,臺北市萬華區日善里萬華國中(西藏路201號),25.0285,121.4984,學校,臺北市立萬華國民中學,Banyan
833,榕,Ficus microcarpa L. f.,0.94,2.96,臺北市萬華區日善里西藏路213號華江高中,25.0281,121.4977,學校,臺北市立華江高級中學,Banyan
838,榕,Ficus microcarpa L. f.,0.92,2.9,臺北市萬華區雙園里西藏路424號南海實驗幼稚園,25.0295,121.498,學校,臺北市萬華區雙園國民小學,Banyan
839,菩提樹,Ficus religiosa L.,0.98,3.07,臺北市萬華區青山里和平西路三段235號,25.0355,121.4967,學校,臺北市萬華區龍山國民小學,Botree
840,茄苳,Bischofia javanica Blume,0.8,2.5,臺北市萬華區青山里和平西路三段235號 龍山國小,25.0361,121.4968,學校,臺北市萬華區龍山國民小學,Autumn Maple Tree
841,榕,Ficus microcarpa L. f.,0.68,2.15,臺北市萬華區青山里和平西路二段235號龍山國小,25.0359,121.4957,學校,臺北市萬華區龍山國民小學,Banyan
842,榕,Ficus microcarpa L. f.,1.52,4.77,臺北市萬華區青山里和平西路三段235號龍山國小,25.0367,121.4957,學校,臺北市萬華區龍山國民小學,Banyan
843,樟,Cinnamomum camphora (L.) Presl,0.64,2.01,臺北市萬華區青山里和平西路三段235號龍山國小,25.0366,121.4959,學校,臺北市萬華區龍山國民小學,Camphor Tree
844,大葉雀榕,Ficus caulocarpa (Miq.) Miq,1.36,4.27,臺北市萬華區青山里和平西路三段235號龍山國小變電室旁,25.0335,121.5054,學校,臺北市萬華區龍山國民小學,Red Fruit Fig-tree
845,茄苳,Bischofia javanica Blume,0.8,2.5,臺北市萬華區青山里和平西路三段235號龍山國小,25.0367,121.4968,學校,臺北市萬華區龍山國民小學,Autumn Maple Tree
847,朴樹,Celtis sinensis Persoon,0.73,227,臺北市萬華區全德里東園街195號東園國小,25.0232,121.4982,學校,臺北市萬華區東園國民小學,Chinese Hackberry
848,茄苳,Bischofia javanica Blume,0.9,2.82,臺北市萬華區全德里東園街195號東園國小,25.0228,121.498,學校,臺北市萬華區東園國民小學,Autumn Maple Tree
849,菲律賓紫檀,Pterocarpus vidalianus Rolfe,0.79,2.47,臺北市萬華區全德里東園街195號東園國小籃球場旁,25.0231,121.4979,學校,臺北市萬華區東園國民小學,Philippine Padauk
850,榕,Ficus microcarpa L. f.,1.26,3.94,臺北市萬華區日善里東園街65號日善公園,25.0267,121.4968,其他,臺北市政府工務局公園路燈工程管理處(萬華區公所代管),Banyan
853,樟,Cinnamomum camphora (L.) Presl,0.81,2.51,臺北市萬華區日善里東園街65號日善公園,25.0264,121.4968,公園、綠地,臺北市政府工務局公園路燈工程管理處(萬華區公所代管),Camphor Tree
855,狹葉堇寶蓮,Syzygium cumini caryophllifolium,1.08,3.38,臺北市萬華區富福里南寧路46號龍山國中,25.0347,121.5051,學校,臺北市立龍山國民中學,Jambolan
857,榕,Ficus microcarpa L. f.,1.09,3.42,臺北市萬華區福音里桂林路64號老松國小近西側門段的花圃中,25.0381,121.5022,學校,臺北市萬華區老松國民小學,Banyan
859,茄苳,Bischofia javanica Blume,1.13,3.54,臺北市萬華區華中里華中橋河濱公園,25.0162,121.4945,公園、綠地,臺北市政府工務局水利工程處,Autumn Maple Tree
860,榕,Ficus microcarpa L. f.,1.19,3.73,臺北市萬華區福星里開封街二段37號,25.0472,121.5066,,臺北市政府都市發展局,Banyan
861,木棉,Bombax malabarica DC.,0.34,1.08,臺北市萬華區福星里萬華區西寧南路6-1號,25.0474,121.5062,道路、人行道,臺北市政府體育局,"	Common Bombax"
862,榕,Ficus microcarpa L. f.,1.24,3.91,臺北市萬華區福星里開封街二段23號,25.0471,121.5067,其他,臺北市政府都市發展局,Banyan
866,小葉欖仁,Terminalia mantaly H. Perrier,0.41,1.29,臺北市萬華區華江里環河南路二段250巷42弄2號華江國小華北大樓合作社前花圃,25.0343,121.4922,學校,臺北市萬華區華江國民小學,Madagascar Almond
867,小葉欖仁,Terminalia mantaly H. Perrier,0.55,1.72,臺北市萬華區華江里環河南路二段250巷42弄2號華江國小華北大樓體育器材室前,25.0343,121.4921,學校,臺北市萬華區華江國民小學,Madagascar Almond
868,木棉,Bombax malabarica DC.,0.42,1.32,臺北市萬華區華江里環河南路二段250巷42弄2號華江國小運動場邊,25.0335,121.4917,學校,臺北市萬華區華江國民小學,"	Common Bombax"
523,榕,Ficus microcarpa L. f.,0.53,1.67,臺北市松山區民福里民權東路三段211號,25.0618,121.5503,其他,臺北市政府工務局公園路燈工程管理處(臺北市政府工務局水利工程處代管),Banyan
524,榕,Ficus microcarpa L. f.,0.8,2.5,臺北市松山區民福里民權東路三段211號,25.0618,121.5504,其他,臺北市政府工務局公園路燈工程管理處(臺北市政府工務局水利工程處代管),Banyan
525,榕,Ficus microcarpa L. f.,1,3.13,臺北市松山區民福里民權東路三段211號,25.062,121.5502,其他,臺北市政府工務局公園路燈工程管理處(臺北市政府工務局水利工程處代管),Banyan
526,榕,Ficus microcarpa L. f.,1.34,4.2,臺北市松山區民福里民權東路三段211號,25.0619,121.5501,其他,臺北市政府工務局公園路燈工程管理處(臺北市政府工務局水利工程處代管),Banyan
527,烏桕,Sapium sebiferum (L.) Roxb.,0.8,2.52,臺北市松山區復建里光復南路22巷16弄3號,25.0469,121.5565,其他,國防部政治作戰局,Chinese  Tallow  Tree
531,朴樹,Celtis sinensis Persoon,0.66,2.07,臺北市松山區東勢里健康路110號機車行旁,25.0534,121.5554,私有住宅,私人,Chinese Hackberry
532,流蘇,Chionanthus retusus Lindl. & Paxt.,0.51,1.62,臺北市松山區鵬程里健康路313號,25.0545,121.5661,私有住宅,臺北市政府都市發展局(臺北市住宅及都市更新中心代管),Chinese Fringe-tree
533,森氏紅淡比,Cleyera japonica Thunb. var. morii (Yamamoto) Masam.,0.44,1.37,臺北市松山區鵬程里健康路313號,25.0545,121.5661,私有住宅,臺北市政府都市發展局(臺北市住宅及都市更新中心代管),Mori Cleyera
536,榕,Ficus microcarpa L. f.,0.93,2.93,臺北市松山區東榮里富錦街372號旁(民生東路五段69巷4弄間)富錦三號公園內,25.0602,121.5588,,臺北市政府工務局公園路燈工程管理處(臺北市松山區公所代管),Banyan
537,白千層,Melaleuca cajuputi cumingiana,0.88,2.77,臺北市松山區精忠里富錦街77巷軍營門口對面，敦化北路、民權東路口敦北公園內,25.0607,121.5512,公園、綠地,臺北市政府工務局公園路燈工程管理處(臺北市松山區公所代管),Cajuput Tree
538,樟,Cinnamomum camphora (L.) Presl,0.98,3.07,臺北市松山區中華里中華開發金控總部前分隔島,25.0528,121.5491,公園、綠地,臺北市政府工務局公園路燈工程管理處,Camphor Tree
540,樟,Cinnamomum camphora (L.) Presl,0.91,2.87,臺北市松山區精忠里敦化北路333巷12弄3號,25.059,121.5505,其他,國防部政治作戰局,Camphor Tree
541,樟,Cinnamomum camphora (L.) Presl,0.8,2.5,臺北市松山區精忠里敦化北路333巷12弄3號,25.0589,121.5505,其他,國防部政治作戰局,Camphor Tree
542,榕,Ficus microcarpa L. f.,1.27,3.98,臺北市松山區精忠里敦化北路333巷12弄3號西側,25.0594,121.5502,公共場所,國防部政治作戰局,Banyan
543,榕,Ficus microcarpa L. f.,1.16,3.63,臺北市松山區精忠里敦化北路333巷12弄3號西側,25.0593,121.5502,公共場所,國防部政治作戰局,Banyan
544,榕,Ficus microcarpa L. f.,0.98,3.07,臺北市松山區精忠里敦化北路333巷12弄3號西側,25.0591,121.5501,公共場所,國防部政治作戰局,Banyan
545,樟,Cinnamomum camphora (L.) Presl,0.81,2.56,臺北市松山區美仁里臺北田徑場對面安全島,25.0488,121.5491,公園、綠地,臺北市政府工務局新建工程處、財政部國有財產署、行政院農業委員會農田水利署、臺灣土地銀行股份有限公司、私人,Camphor Tree
530,樟,Cinnamomum camphora (L.) Presl,0.85,2.66,臺北市松山區美仁里臺北小巨蛋,25.0507,121.5491,公園、綠地,臺北市政府工務局新建工程處(公園處代管),Camphor Tree
546,樟,Cinnamomum camphora (L.) Presl,0.86,2.71,臺北市松山區美仁里臺北田徑場對面安全島,25.0498,121.5491,公園、綠地,臺北市政府工務局新建工程處、財政部國有財產署、行政院農業委員會農田水利署、臺灣土地銀行股份有限公司、私人,Camphor Tree
547,樟,Cinnamomum camphora (L.) Presl,0.85,2.67,臺北市松山區美仁里臺北田徑場對面安全島,25.0493,121.5491,公園、綠地,臺北市政府工務局新建工程處、財政部國有財產署、行政院農業委員會農田水利署、臺灣土地銀行股份有限公司、私人,Camphor Tree
548,樟,Cinnamomum camphora (L.) Presl,0.85,2.67,臺北市松山區美仁里臺北田徑場對面安全島,25.0494,121.5491,公園、綠地,臺北市政府工務局新建工程處、財政部國有財產署、行政院農業委員會農田水利署、臺灣土地銀行股份有限公司、私人,Camphor Tree
550,榕,Ficus microcarpa L. f.,1.54,4.83,臺北市松山區新益里三民公園,25.0633,121.5681,公園、綠地,臺北市政府工務局公園路燈工程管理處,Banyan
551,榕,Ficus microcarpa L. f.,1.12,3.52,臺北市松山區新益里三民公園,25.0631,121.5679,公園、綠地,臺北市政府工務局公園路燈工程管理處,Banyan
552,榕,Ficus microcarpa L. f.,1.43,4.49,臺北市松山區新益里三民公園,25.0631,121.5681,公園、綠地,臺北市政府工務局公園路燈工程管理處,Banyan
926,日本黑松,Pinus thunbergii Parl.,0.57,1.8,臺北市士林區天祿里中山北路六段392號士東國小校園內操場邊(守護神解說牌）,25.113,121.5273,學校,臺北市士林區士東國民小學,Japanese Black Pine
927,日本黑松,Pinus thunbergii Parl.,0.56,1.76,臺北市士林區天祿里中山北路六段392號士東國小校園內操場邊(矮巨人解說牌),25.1129,121.5275,學校,臺北市士林區士東國民小學,Japanese Black Pine
928,日本黑松,Pinus thunbergii Parl.,0.53,1.68,臺北市士林區天祿里中山北路六段392號士東國小操場邊(刺蝟樹解說牌）,25.1128,121.5278,學校,臺北市士林區士東國民小學,Japanese Black Pine
930,大葉桉,Eucalyptus robusta Smith,1.02,3.2,臺北市士林區天壽里中山北路六段763巷7弄6號對面（日僑學校圍牆外）,25.0689,121.5331,道路、人行道,臺北市政府工務局新建工程處,Swamp Manogany
931,榕,Ficus microcarpa L. f.,1.05,3.3,臺北市士林區名山里中山北路六段福林橋與福國路交叉口(忠誠公園),25.1029,121.5255,公園、綠地,臺北市政府工務局公園路燈工程管理處,Banyan
933,榕,Ficus microcarpa L. f.,1.34,4.22,"臺北市中山區劍潭里中山北路四段16號劍潭青年活動中心內,近圍牆內水池邊小徑後有涼亭",25.0785,121.5244,公共場所,臺北市政府工務局大地工程處,Banyan
934,黑板樹,Alstonia scholaris (L.) R. Brown,1.05,3.3,臺北市士林區福德里中正路435巷13號前方士林121號綠地,25.0929,121.5205,公園、綠地,臺北市政府工務局公園路燈工程管理處,Palimara Alstonia
935,榕,Ficus microcarpa L. f.,1.34,4.2,臺北市士林區福德里中正路435巷7號右前方士林120號綠地,25.0931,121.5203,公園、綠地,臺北市政府工務局公園路燈工程管理處,Banyan
936,香楠,Machilus zuihoensis Hayata,0.82,2.58,臺北市士林區翠山里中社路一段56號翠山派出所對面站牌旁,25.1078,121.5606,其他,臺北市政府工務局公園路燈工程管理處,Zuiho Machilus
937,樟,Cinnamomum camphora (L.) Presl,1.34,4.2,臺北市士林區翠山里中社路一段80號近民宅路邊,25.1077,121.5619,其他,私人,Camphor Tree
938,榕,Ficus microcarpa L. f.,2.24,7.05,臺北市士林區天壽里天母西路50巷17號對面土地公廟,25.118,121.5253,公共場所,私人,Banyan
945,榕,Ficus microcarpa L. f.,0.91,2.87,臺北市士林區社園里永平路20巷37弄17號社子公園靠永平街20巷的人行道邊最靠11巷,25.0902,121.5064,公園、綠地,臺北市政府工務局公園路燈工程管理處,Banyan
946,榕,Ficus microcarpa L. f.,0.81,2.56,臺北市士林區社園里永平路20巷37弄17號社子公園靠永平街20巷的人行道邊靠37巷,25.0903,121.5065,公園、綠地,臺北市政府工務局公園路燈工程管理處,Banyan
947,雀榕,Ficus superba var. japonica,1.06,3.33,臺北市士林區臨溪里至善路二段321號衛理女中警衛室前,25.1018,121.5523,學校,財團法人臺北市私立衛理女子高級中學,Large-leaved Banyan
950,榕,Ficus microcarpa L. f.,1.23,3.87,臺北市士林區福安里延平北路七段106巷170號福安宮土地公廟,25.1008,121.496,私有住宅,私人,Banyan
951,榕,Ficus microcarpa L. f.,2.83,8.9,臺北市士林區福安里延平北路七段106巷96號許英媽廟前,25.099,121.4956,其他,私人,Banyan
953,榕,Ficus microcarpa L. f.,1.56,4.9,臺北市士林區福安里延平北路七段15號屋旁,25.0946,121.4966,道路、人行道,私人,Banyan
954,榕,Ficus microcarpa L. f.,1.78,5.6,臺北市士林區福安里延平北路七段215-5號德勝宮廟前(217巷子進),25.1015,121.4875,其他,私人,Banyan
955,榕,Ficus microcarpa L. f.,0.86,2.7,臺北市士林區福安里延平北路七段63巷12弄14號屋旁,25.0956,121.4946,公共場所,私人,Banyan
956,榕,Ficus microcarpa L. f.,1.39,4.38,臺北市士林區福安里延平北路七段72巷2號屋前,25.0964,121.4958,私有住宅,私人,Banyan
957,榕,Ficus microcarpa L. f.,0.99,3.1,臺北市士林區富洲里延平北路九段211號台北海洋科技大學,25.108,121.4714,學校,台北海洋技術學院,Banyan
958,榕,Ficus microcarpa L. f.,1.15,3.6,臺北市士林區富洲里延平北路九段212號台北海洋科技大學,25.1085,121.4714,學校,台北海洋技術學院,Banyan
959,榕,Ficus microcarpa L. f.,1.02,3.2,臺北市士林區富洲里延平北路九段213號台北海洋科技大學,25.1084,121.4716,學校,台北海洋科技大學,Banyan
960,榕,Ficus microcarpa L. f.,1.13,3.56,臺北市士林區富洲里延平北路九段５號　工廠邊,25.1058,121.4776,公共場所,新凱汽車股份有限公司,Banyan
961,榕,Ficus microcarpa L. f.,2.16,6.8,臺北市士林區富洲里延平北路八段135號富安國小圖書館前,25.1056,121.4826,學校,臺北市士林區富安國民小學,Banyan
963,榕,Ficus microcarpa L. f.,1.27,4,臺北市士林區富洲里延平北路八段135號富安國小內入操場旁,25.1056,121.4822,學校,臺北市士林區富安國民小學,Banyan
964,榕,Ficus microcarpa L. f.,1.3,4.08,臺北市士林區富洲里延平北路八段157巷37號工廠門口邊,25.1039,121.4828,其他,私人,Banyan
965,榕,Ficus microcarpa L. f.,1.05,3.3,臺北市士林區富洲里延平北路八段287號工廠邊,25.1058,121.4779,公共場所,臺北市政府財政局,Banyan
968,榕,Ficus microcarpa L. f.,0.66,2.06,臺北市士林區福安里延平北路八段2巷200弄8-5號對面(土地公後方、社大機械前),25.1106,121.4908,公共場所,私人,Banyan
969,榕,Ficus microcarpa L. f.,1.21,3.8,臺北市士林區福安里延平北路八段2巷238號屋旁(位在雜貨店旁),25.111,121.4892,私有住宅,私人,Banyan
972,榕,Ficus microcarpa L. f.,1.31,4.1,臺北市士林區社園里延平北路6段200號(社子派出所後方),25.0899,121.5054,其他,臺北市政府警察局,Banyan
973,榕,Ficus microcarpa L. f.,0.92,2.9,臺北市士林區名山里忠義街1號雨農國小圍牆邊近忠義街,25.1055,121.531,學校,臺北市士林區雨農國民小學,Banyan
974,榕,Ficus microcarpa L. f.,1.5,4.7,臺北市士林區岩山里忠義街71巷13弄進入聯合醫院健撿中心入口左邊,25.1057,121.5324,公共場所,臺北市立聯合醫院,Banyan
975,榕,Ficus microcarpa L. f.,0.64,2.01,臺北市士林區岩山里忠義街71巷13弄進入聯合醫院健檢中心入口較靠近停車場,25.1054,121.5321,公共場所,臺北市立聯合醫院,Banyan
976,榕,Ficus microcarpa L. f.,1.02,3.9,臺北市士林區岩山里忠義街71巷13巷1號陽明醫院停車場旁,25.1057,121.5322,其他,臺北市立聯合醫院,Banyan
978,榕,Ficus microcarpa L. f.,1.21,3.8,臺北市士林區東山里東山路100巷對面公車站旁,25.1136,121.5394,公共場所,私人,Banyan
979,榕,Ficus microcarpa L. f.,1.13,3.54,臺北市士林區社子里士林區社正路64巷5號,25.088,121.5112,公共場所,臺北市停車管理工程處(臺北市政府捷運工程局第一區工程處代管),Banyan
981,芒果,Mangifera indica L.,1.02,3.2,臺北市士林區岩山里芝玉路一段32巷巷底住宅圍牆中間巷口就可看見,25.1028,121.5366,私有住宅,私人,Mango
983,樟,Cinnamomum camphora (L.) Presl,0.86,2.7,臺北市士林區福志里雨農路9-4號對面,25.0972,121.5316,私有住宅,私人,Camphor Tree
984,榕,Ficus microcarpa L. f.,1.81,5.7,臺北市士林區岩山里雨聲街105號聯合醫院夜間門診牌左側,25.1055,121.5313,公共場所,臺北市立聯合醫院,Banyan
986,榕,Ficus microcarpa L. f.,0.97,3.03,臺北市內湖區週美里內湖區潭美綠地,25.0556,121.5738,公園、綠地,臺北市政府工務局公園路燈工程管理處,Banyan
987,榕,Ficus microcarpa L. f.,0.95,3,臺北市士林區明勝里通河街2巷26弄9號大門旁,25.079,121.5226,私有住宅,私人,Banyan
989,榕,Ficus microcarpa L. f.,1.39,4.37,臺北市大同區老師里延平北路5段1巷平面停車場,25.0788,121.5099,道路、人行道,臺北市政府工務局新建工程處(臺北市停車管理工程處代管) 、交通部高速公路局北區養護工程分局,Banyan
990,榕,Ficus microcarpa L. f.,0.8,2.5,臺北市士林區富光里葫蘆街80-2號對面百海靈眾靈宮,25.0818,121.5087,公共場所,私人,Banyan
991,麻六甲合歡,Albizia falcata Bacher ex Merill,1.15,3.6,臺北市士林區福志里福志路75號福林國小警衛室旁,25.0987,121.5297,學校,臺北市士林區福林國民小學,Moluccan albizia
996,榕,Ficus microcarpa L. f.,1.49,4.67,臺北市士林區福德里士林國中南側,25.0923,121.5237,道路、人行道,臺北市立士林國民中學(臺北市政府工務局公園路燈工程管理處代管),Banyan
998,榕,Ficus microcarpa L. f.,1.02,3.2,臺北市士林區蘭興里克強公園,25.1075,121.5219,公園、綠地,臺北市政府工務局公園路燈工程管理處,Banyan
999,猢猻木,Adansonia digitata L.,0.89,2.8,臺北市北投區關渡里大度路三段193號前人行道,25.1229,121.4686,道路、人行道,臺北市政府工務局公園路燈工程管理處,Baobab
1000,猢猻木,Adansonia digitata L.,1.33,4.2,臺北市北投區關渡里大度路三段280號，消防隊對面路口第三棵,25.1235,121.4668,,臺北市政府工務局公園路燈工程管理處,Baobab
