樹木編號,樹種名稱,樹種學名,樹胸徑寬度公尺,樹胸圍長度公尺,地址,緯度,經度,地理位置名稱,管理單位,英文名
4188,榕,Ficus microcarpa L. f.,0.86,2.68,臺北市北投區中庸里雙全街50號對面(中庸一公園),25.1378,121.5014,公園、綠地,臺北市政府工務局公園路燈工程管理處(臺北市北投區公所代管),Banyan
4295,白千層,Melaleuca cajuputi cumingiana,0.84,2.63,臺北市中正區梅花里忠孝東路二段5號,25.044,121.5273,,臺北市政府工務局新建工程處(臺北市政府工務局公園路燈工程管理處代管),Cajuput Tree
4296,榕,Ficus microcarpa L. f.,0.83,2.61,臺北市中正區永功里泉州街32號,25.0258,121.5134,,國防部軍備局(國防部憲兵指揮部代管),Banyan
4297,雀榕,Ficus superba var. japonica,0.81,2.54,臺北市中正區永功里泉州街32號,25.0257,121.5129,,國防部軍備局(國防部憲兵指揮部代管),Large-leaved Banyan
4298,印度橡膠樹,Ficus elastica Roxb,0.83,2.6,臺北市南港區中研里研究院路2段35巷23弄六福公園,25.0475,121.6165,,臺北市政府工務局公園路燈工程管理處(南港區公所代管),Indiarubber fig
4299,菩提樹,Ficus religiosa L.,0.89,2.81,臺北市松山區精忠里敦化北路199巷,25.0572,121.5511,,臺北市政府工務局公園路燈工程管理處代管,Botree
4300,榕,Ficus microcarpa L. f.,0.88,2.77,臺北市大安區學府里羅斯福路4段113巷13號,25.0101,121.5389,,臺北市民族實驗國民中學,Banyan
4301,榕,Ficus microcarpa L. f.,0.8,2.51,臺北市大安區學府里羅斯福路4段113巷13號,25.0101,121.5392,,臺北市民族實驗國民中學,Banyan
4303,榕,Ficus microcarpa L. f.,1.21,3.8,臺北市信義區黎順里信安街103巷40號,25.0234,121.5598,,法務部調查局,Banyan
4304,樟,Cinnamomum camphora (L.) Presl,0.9,2.84,臺北市北投區湖田里竹子湖路1-10號,25.1566,121.5499,,教育部,Camphor Tree
4305,相思樹,Acacia confusa Merr.,0.86,2.7,臺北市北投區湖田里竹子湖路1-10號,25.1566,121.5479,,教育部,Taiwan  Acacia
4306,楓香,Liquidambar formosana Hance,0.95,3,臺北市士林區名山里雨聲街120號(芝山文化生態綠園)坐落咖啡廳東南側空地上,25.1037,121.5321,,臺北市政府工務局公園路燈工程管理處(臺北市政府文化局代管),Formosan Sweet Gum
4307,楓香,Liquidambar formosana Hance,0.88,2.77,臺北市士林區名山里雨聲街120號(芝山文化生態綠園)坐落芝山岩展示館北側坡地上,25.104,121.5326,,臺北市政府工務局公園路燈工程管理處(臺北市政府文化局代管),Formosan Sweet Gum
4308,大葉楠,Machilus japonica Sieb. & Zucc. var. kusanoi (Hayata) Liao,1.27,3.96,臺北市士林區名山里雨聲街120號(芝山文化生態綠園)坐落生態池南側綠地上,25.104,121.5326,,臺北市政府工務局公園路燈工程管理處(臺北市政府文化局代管),"	Large-leaved Nanmu"
4309,榕,Ficus microcarpa L. f.,2.23,7.03,臺北市士林區名山里雨聲街120號(芝山文化生態綠園)坐落收費亭南側上木棧道旁,25.104,121.5326,,臺北市政府工務局公園路燈工程管理處(臺北市政府文化局代管),Banyan
4312,榕,Ficus microcarpa L. f.,1.85,5.8,臺北市大同區保安里承德路3段256號,25.0735,121.5189,,私人,Banyan
