TreeHoleID,ShapeType,Length,Area,Region,Remark,TWD97X,TWD97Y,UpdDate,lng,lat
2093,帶狀樹穴,15.5,4.29,延平北路六段,,300743.05,2776005.15,2026-03-26 15:31:48,121.50307407756016,25.091485086202034
2093,帶狀樹穴,15.5,4.29,延平北路六段,,300743.05,2776005.15,2026-03-26 15:31:48,121.50307407756016,25.091485086202034
2093,帶狀樹穴,15.5,4.29,延平北路六段,,300743.05,2776005.15,2026-03-26 15:31:48,121.50307407756016,25.091485086202034
49070,帶狀樹穴,6.59,1.56,文山區,,307517.46,2766147.11,2026-03-26 15:31:48,121.5698226089372,25.00224498777253
49072,帶狀樹穴,8.79,1.56,文山區,,307532.84,2766147.66,2026-03-26 15:31:48,121.569974994794,25.00224936939538
49074,帶狀樹穴,4.93,1.56,文山區,,307538.76,2766146.54,2026-03-26 15:31:48,121.57003359499404,25.002239033380565
49075,帶狀樹穴,5.89,1.56,文山區,,307543.8,2766146.42,2026-03-26 15:31:48,121.57008351907112,25.002237758684863
49076,帶狀樹穴,6.01,1.56,文山區,,307548.1,2766146.08,2026-03-26 15:31:48,121.57012610312431,25.002234525925264
49078,帶狀樹穴,6.05,1.56,文山區,,307554.81,2766145.92,2026-03-26 15:31:48,121.57019256948989,25.002232826665683
49077,帶狀樹穴,5.36,1.56,文山區,,307566.0,2766144.52,2026-03-26 15:31:48,121.57030336556923,25.002219762592404
49073,帶狀樹穴,7.51,1.56,文山區,,307574.21,2766142.74,2026-03-26 15:31:48,121.57038462423593,25.002203381026778
49083,帶狀樹穴,7.69,1.56,文山區,,307581.08,2766139.03,2026-03-26 15:31:48,121.57045252763344,25.002169626419974
49080,帶狀樹穴,10.57,1.56,文山區,,307581.7,2766135.28,2026-03-26 15:31:48,121.57045851336457,25.002135748125617
49081,帶狀樹穴,7.97,3.78,文山區,,307581.36,2766131.28,2026-03-26 15:31:48,121.57045497838138,25.002099649320204
49081,帶狀樹穴,7.97,3.78,文山區,,307581.36,2766131.28,2026-03-26 15:31:48,121.57045497838138,25.002099649320204
49082,帶狀樹穴,8.68,1.56,文山區,,307580.77,2766127.73,2026-03-26 15:31:48,121.57044898552314,25.002067622581027
